Estimated Population not on a Reticulated System or Stock Water Network,,,
,,,
User,Est. Population,Factor (Ltrs/head/day),Est. Total Water Use (m3/day)
Humans*,51,1250,64.56521988
Dairy Cattle,0,105,0
Beef Cattle,826,68,56.168
Sheep,9992,5,49.96
Deer,10,45,0.45
Pigs,0,17,0
Goats,5,8,0.04
Horses,17,83,1.411
Ostriches and Emus,0,0,0
Alpacas and Llamas,0,19,0
Poultry,0,0.45,0
,,,
Leakage,,,0
,,,
TOTAL,,,172.594223
,,,
* Based on average property-population density of 2.152,,,
Estimated Number of Properties (based on 2006 Census (Statistics NZ)) = 24,,,
Estimated Stock Numbers based on data from Agribase (AsureQuality),,,
