Estimated Population not on a Reticulated System or Stock Water Network

User,Est. Population,Factor (Ltrs/head/day),Est. Total Water Use (m3/day)
Humans*,33,1250.0,42.3959159851
Dairy Cattle,36,105.0,3.78
Beef Cattle,423,68.0,28.764
Sheep,3403,5.0,17.015
Deer,0,45.0,0.0
Pigs,0,17.0,0.0
Goats,0,8.0,0.0
Horses,0,83.0,0.0
Ostriches and Emus,0,0.0,0.0
Alpacas and Llamas,0,19.0,0.0
Poultry,26,0.45,0.0117

Leakage,,,0.0

TOTAL,,,91.9666137695

* Based on average property-population density of 1.995
Estimated Number of Properties (based on 2018 Census (Statistics NZ)) = 17
Estimated Stock Numbers based on data from Agribase (AsureQuality)
