Estimated Population not on a Reticulated System or Stock Water Network

User,Est. Population,Factor (Ltrs/head/day),Est. Total Water Use (m3/day)
Humans*,19,1250.0,24.4444446266
Dairy Cattle,0,105.0,0.0
Beef Cattle,226,68.0,15.368
Sheep,1378,5.0,6.89
Deer,0,45.0,0.0
Pigs,0,17.0,0.0
Goats,0,8.0,0.0
Horses,0,83.0,0.0
Ostriches and Emus,0,0.0,0.0
Alpacas and Llamas,0,19.0,0.0
Poultry,15,0.45,0.00675

Leakage,,,0.0

TOTAL,,,46.7091941833

* Based on average property-population density of 1.778
Estimated Number of Properties (based on 2018 Census (Statistics NZ)) = 11
Estimated Stock Numbers based on data from Agribase (AsureQuality)
