Estimated Population not on a Reticulated System or Stock Water Network

User,Est. Population,Factor (Ltrs/head/day),Est. Total Water Use (m3/day)
Humans*,50,1250.0,63.3632689714
Dairy Cattle,32,105.0,3.36
Beef Cattle,372,68.0,25.296
Sheep,2605,5.0,13.025
Deer,142,45.0,6.39
Pigs,0,17.0,0.0
Goats,6,8.0,0.048
Horses,8,83.0,0.664
Ostriches and Emus,0,0.0,0.0
Alpacas and Llamas,0,19.0,0.0
Poultry,53,0.45,0.02385

Leakage,,,0.0

TOTAL,,,112.170120239

* Based on average property-population density of 2.304
Estimated Number of Properties (based on 2018 Census (Statistics NZ)) = 22
Estimated Stock Numbers based on data from Agribase (AsureQuality)
