Estimated Population not on a Reticulated System or Stock Water Network

User,Est. Population,Factor (Ltrs/head/day),Est. Total Water Use (m3/day)
Humans*,23,1250.0,28.750000298
Dairy Cattle,0,105.0,0.0
Beef Cattle,234,68.0,15.912
Sheep,4269,5.0,21.345
Deer,0,45.0,0.0
Pigs,0,17.0,0.0
Goats,0,8.0,0.0
Horses,0,83.0,0.0
Ostriches and Emus,0,0.0,0.0
Alpacas and Llamas,0,19.0,0.0
Poultry,1,0.45,0.00045

Leakage,,,0.0

TOTAL,,,66.0074539185

* Based on average property-population density of 2.556
Estimated Number of Properties (based on 2018 Census (Statistics NZ)) = 9
Estimated Stock Numbers based on data from Agribase (AsureQuality)
