Estimated Population not on a Reticulated System or Stock Water Network

User,Est. Population,Factor (Ltrs/head/day),Est. Total Water Use (m3/day)
Humans*,11,1250.0,14.7508664429
Dairy Cattle,0,105.0,0.0
Beef Cattle,403,68.0,27.404
Sheep,5687,5.0,28.435
Deer,0,45.0,0.0
Pigs,0,17.0,0.0
Goats,0,8.0,0.0
Horses,4,83.0,0.332
Ostriches and Emus,0,0.0,0.0
Alpacas and Llamas,0,19.0,0.0
Poultry,11,0.45,0.00495

Leakage,,,0.0

TOTAL,,,70.9268188477

* Based on average property-population density of 1.686
Estimated Number of Properties (based on 2018 Census (Statistics NZ)) = 7
Estimated Stock Numbers based on data from Agribase (AsureQuality)
